Mean_Score,Std_Score,C,gamma,kernel,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.5758225931199702,0.005547711333846503,10,0.01,rbf,0.5795550549141087,0.5694170656153196,0.5814084507042253,0.5687323943661972,0.58
0.5751467113013196,0.0033126038403182177,10,0.001,rbf,0.5758941143339904,0.5699802872430302,0.58,0.5763380281690141,0.5735211267605633
0.5739638665561377,0.005255886816547379,1,0.01,rbf,0.5753308927062799,0.5660377358490566,0.5822535211267605,0.571830985915493,0.5743661971830986
0.5724994744586924,0.0050949201568175045,1,0.001,rbf,0.5696986764291749,0.5646296817797803,0.5769014084507043,0.5788732394366197,0.5723943661971831
0.5684995537856823,0.004508581476688717,1,0.1,rbf,0.5713883413123064,0.5615319628273726,0.5738028169014084,0.5707042253521126,0.5650704225352112
0.5613454809397075,0.0032782019689091835,10,0.01,poly,0.5626584060827936,0.5550549141087018,0.5614084507042254,0.5633802816901409,0.5642253521126761
0.559824433506134,0.005202552802109182,1,0.1,poly,0.5643480709659251,0.551957195156294,0.5664788732394366,0.5594366197183098,0.5569014084507042
0.5504733044847514,0.0038097669889518354,10,0.1,poly,0.5550549141087018,0.5437904815544917,0.5523943661971831,0.551830985915493,0.5492957746478874
0.5312645753427918,0.010709253872436158,10,0.1,rbf,0.5398479301605181,0.513939735285835,0.5332394366197183,0.543943661971831,0.5253521126760563
0.4868743341490792,0.0036623384880865,1,0.01,poly,0.49000281610813856,0.49056603773584906,0.4802816901408451,0.48704225352112673,0.4864788732394366
0.3764646340447642,0.00015532627313311366,10,0.001,poly,0.37651365812447196,0.3762320473106167,0.37661971830985913,0.37661971830985913,0.37633802816901407
0.37640831188199314,0.00017689745845617553,1,0.001,poly,0.3762320473106167,0.3762320473106167,0.37661971830985913,0.37661971830985913,0.37633802816901407
